model,inside_percent,rms_fractional_residual,P_at_pivot
"(3,3)",93.16666666666666,0.0017738440238033281,2.1000011099093575e-09
"(1,5)",22.333333333333332,0.013091176368920243,2.100001136743628e-09
S^3\times S^3,4.666666666666667,0.06562712568492443,2.100003530964428e-09
