model,inside_percent,min_kernel_eigenvalue,effective_ns,max_abs_fractional_residual
"(3,3)",67.77777777777779,2.493208368656101e-07,0.9695489372665953,0.1331226011344051
"(1,5)",47.77777777777778,2.4932083856915953e-07,0.9811284890104064,0.6470594675195346
S^3\times S^3,61.111111111111114,2.4932083803064224e-07,0.9733119283517241,0.3440108686553961
